FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a4,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena barracuda,Sphyraena barracuda,87.5,1,3277.644,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a3,912345748,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT28,New Year Island light,-10.9,133.03,24/10/2015,3,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,5,2,2.9209,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a2,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides fulvoguttatus,Carangoides fulvoguttatus,50,6,5936.391,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a1,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx melampygus,Caranx melampygus,50,8,11434.728,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a0,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Labridae,Epibulus insidiator,Epibulus insidiator,25,1,364.3856,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639f,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Lethrinidae,Lethrinus olivaceus,Lethrinus olivaceus,40,2,1360.6154,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639e,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Nemipteridae,Scolopsis monogramma,Scolopsis monogramma,25,1,423.8849,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639d,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus maculatus,Plectropomus maculatus,20,1,166.1254,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639c,912345750,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,8,RLS,7,14:00:00,,,0,,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus scriptus,Aluterus scriptus,50,2,3063.9563,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639b,912345751,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT29,New Year Island South West,-10.91,133.03,24/10/2015,6,RLS,7,16:00:00,,,0,,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Triaenodon obesus,Triaenodon obesus,125,1,9627.771,POINT (133.02999877929688 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-639a,912345753,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT30,Arnhem CMR Gadgets Reef North West,-11.29,133.8,25/10/2015,9,RLS,12,8:00:00,,,0,,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Arothron stellatus,Arothron stellatus,75,1,9317.555,POINT (133.8000030517578 -11.289999961853027)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6399,912345757,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT32,Arnham Shoal,-11.45,133.71,25/10/2015,12.5,RLS,4,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus commerson,Scomberomorus commerson,87.5,5,17700.076,POINT (133.7100067138672 -11.449999809265137)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6398,912345758,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arnhem,NT33,Paxie Shoal North West,-11.43,134.13,26/10/2015,16,RLS,6,8:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus merra,Epinephelus merra,25,1,260.5012,POINT (134.1300048828125 -11.430000305175781)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6397,912345763,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT35,Warrnga Reef,-11.94,135.6,29/10/2015,3,RLS,4,10:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus quoyanus,Epinephelus quoyanus,35,1,626.7698,POINT (135.60000610351562 -11.9399995803833)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6396,912345766,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,1/11/2015,6,RLS,7,9:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion ocellaris,Amphiprion ocellaris,2.5,2,0.6331,POINT (136.80999755859375 -11.670000076293945)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6395,912345766,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT37,Truant Island SW,-11.67,136.81,1/11/2015,6,RLS,7,9:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion ocellaris,Amphiprion ocellaris,5,2,5.2073,POINT (136.80999755859375 -11.670000076293945)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6394,912345768,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT38,Truant Island N,-11.66,136.83,1/11/2015,5,RLS,5,12:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Microdesmidae,Parioglossus interruptus,Parioglossus interruptus,2.5,50,5.9922,POINT (136.8300018310547 -11.65999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6393,912345770,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,Truant Island S,-11.68,136.82,1/11/2015,4.5,RLS,5,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Lethrinidae,Lethrinus olivaceus,Lethrinus olivaceus,50,2,2667.1587,POINT (136.82000732421875 -11.680000305175781)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-6392,912345770,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT39,Truant Island S,-11.68,136.82,1/11/2015,4.5,RLS,5,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Chlorurus microrhinos,Chlorurus microrhinos,50,3,5231.7944,POINT (136.82000732421875 -11.680000305175781)
