FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e0,923400490,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,NT63,Arafura Shoal,-11.23,134.75,1/11/2021,9.5,RLS,15,11:00:00,,,2,1,Echinodermata,Crinoidea,Comatulida,Comasteridae,Comanthus spp.,Comanthus spp.,10,1,,POINT (134.75 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e1,923400490,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,NT63,Arafura Shoal,-11.23,134.75,1/11/2021,9.5,RLS,15,11:00:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia coelestis,Phyllidia coelestis,5,1,,POINT (134.75 -11.229999542236328)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e2,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,22,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e3,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,1,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Chelidonura inornata,Chelidonura inornata,0,3,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e4,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,1,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Chelidonura spp.,Chelidonura spp.,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e5,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Mexichromis macropus,Mexichromis macropus,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e6,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,2,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,15,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e7,912345834,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17,RLS,7,11:00:00,,,2,2,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Chelidonura inornata,Chelidonura inornata,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e8,912345835,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17.5,RLS,7,11:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,26,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63e9,912345835,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17.5,RLS,7,11:00:00,,,2,1,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Palmadusta saulae,Palmadusta saulae,0,1,,POINT (141.05999755859375 -10.739999771118164)
