site_code,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site
NT2,Edge Town Hall Hole,-12.56,130.86,Open,WA,,,,,No,No
NT11,Old Man Rock,-12.34,130.85,Open,WA,,,,,No,No
NT14,Anglers Reef,-12.31,130.87,Open,WA,,,,,No,No
NT12,The Grottos,-12.41,130.79,Open,WA,,,,,No,No
NT3,Weed Reef,-12.49,130.8,Open,WA,,,,,No,No
NT4,Stevens Rock,-12.49,130.79,Open,WA,,,,,No,No
NWS33,NE Passage,-14.06,121.96,Open,WA,,,,,No,No
NWS11,Hibernia Lagoon SW,-11.98,123.34,Open,WA,,,,,No,No
NWS12,Hibernia Lagoon NW,-11.98,123.34,Open,WA,,,,,No,No
NWS13,Golden Sleeper Corner,-11.98,123.33,Open,WA,,,,,No,No
NWS15,Surge Crest West,-12.22,123.01,Open,WA,,,,,No,No
NWS17,Turtle Patch,-12.24,122.99,Open,WA,,,,,No,No
NWS20,Flat's Edge,-12.24,123,Open,WA,,,,,No,No
NWS21,Hemiplage Bommie,-12.24,123,Open,WA,,,,,No,No
NWS1,Vulcan Shoal,-12.8,124.27,Open,WA,,,,,No,No
NWS23,Kuhlii Bommie,-12.23,122.99,Open,WA,,,,,No,No
NWS26,Seringapatam North,-13.62,121.99,Open,WA,,,,,No,No
NWS27,Election Day Reef,-14.07,121.96,Open,WA,,,,,No,No
NWS30,Longnose Spur,-14.14,121.96,Open,WA,,,,,No,No
NWS31,Napoleon Reef,-14.14,121.96,Open,WA,,,,,No,No
NWS32,Goby Heaven,-14.11,121.96,Open,WA,,,,,No,No
NWS34,Table Tip,-14.06,121.97,Open,WA,,,,,No,No
NWS35,Ian's Anchorage,-14.07,121.95,Open,WA,,,,,No,No
NWS36,Fungiid Fields,-14.07,121.79,Open,WA,,,,,No,No
NWS37,Stake Edge,-14.05,121.78,Open,WA,,,,,No,No
NWS2,Barracouta Shoal,-12.56,124.04,Open,WA,,,,,No,No
NWS38,Chaetodontoides,-14.07,121.78,Open,WA,,,,,No,No
NWS39,Odonus Dropoff,-14.08,121.75,Open,WA,,,,,No,No
NWS40,Stern Trawler Reef,-14.08,121.74,Open,WA,,,,,No,No
NWS41,Dead West,-14.11,121.72,Open,WA,,,,,No,No
NWS3,Cardinal Shoal,-11.97,123.39,Open,WA,,,,,No,No
NWS4,Titan Reef,-11.97,123.38,Open,WA,,,,,No,No
NWS7,Big Fish Gulch,-11.97,123.36,Open,WA,,,,,No,No
NWS9,Spur and Groove Reef,-11.97,123.34,Open,WA,,,,,No,No
NWS10,Rogaa Bommie,-11.97,123.32,Open,WA,,,,,No,No
NWS14,Surge Crest East,-12.22,123,Open,WA,,,,,No,No
NWS16,Guardian Reef,-12.24,122.98,Open,WA,,,,,No,No
NWS19,Grand Oculis Bommie,-12.24,122.98,Open,WA,,,,,No,No
NWS22,Dotty Reef,-12.24,122.99,Open,WA,,,,,No,No
NWS5,Hibernia Lagoon SE,-11.98,123.38,Open,WA,,,,,No,No
NWS24,Reel Lost Bommie,-12.24,122.99,Open,WA,,,,,No,No
NWS25,Eviota Bommie,-12.24,122.99,Open,WA,,,,,No,No
NWS28,Consolation Bommie,-14.13,121.94,Open,WA,,,,,No,No
NWS29,Moray Bommie,-14.13,121.95,Open,WA,,,,,No,No
NWS6,Hibernia Lagoon SE2,-11.97,123.38,Open,WA,,,,,No,No
NWS8,Hibernia Lagoon South,-11.98,123.36,Open,WA,,,,,No,No
NWS18,Busy Bommie,-12.24,122.98,Open,WA,,,,,No,No
NT24,Bramble Rocks,-10.89,132.78,Open,GOC,,,,,No,No
NT61,Jones Shoal,-10.96,132.22,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,Yes
NT62,Jones Shoal East,-10.959,132.226,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
NT22,Money Shoal E,-10.32,132.71,Open,GOC,,,,,No,No
NT27,New Year Island Boulder,-10.91,133.04,Open,WA,,,,,No,No
NT20,Money Shoal NW,-10.32,132.71,Open,GOC,,,,,No,No
NT21,Money Shoal S,-10.33,132.71,Open,GOC,,,,,No,No
NT23,Money Shoal SE,-10.33,132.71,Open,GOC,,,,,No,No
NT25,New Year Island anchorage,-10.91,133.02,Open,GOC,,,,,No,No
OS3,Evans Shoal,-9.89,129.55,Open,WA,,,,,No,No
OS4,Blackwood Shoal,-9.88,129.42,Open,WA,,,,,No,No
OS5,Moss Shoal Central,-11.14,129.91,Open,WA,,,,,No,No
OS6,Moss Shoal West,-11.13,129.91,Open,WA,,,,,No,No
OS7,Marie Shoal,-10.89,130.1,Open,WA,,,,,No,No
OS8,Marie Shoal South,-10.91,130.1,Open,WA,,,,,No,No
OS1,Flinders Shoal East,-9.88,129.29,Open,WA,,,,,No,No
OS2,Flinders Shoal Central,-9.88,129.29,Open,WA,,,,,No,No
NWS169,Chruchill Reef South West,-15.52,123.27,Open,WA,,,,,No,No
NWS171,Churchill Reef North,-15.45,123.25,Open,WA,,,,,No,No
NWS172,Scott Outside anchorage,-14.07,121.97,Open,WA,,,,,No,No
NWS163,Berthier Island,-14.5,125,Open,WA,,,,,No,No
NWS164,White Island bommie,-15.07,124.33,Open,WA,,,,,No,No
NWS165,Brue Reef North East,-15.92,123.05,Open,WA,,,,,No,No
NWS174,North Scott Lagoon,-13.93,121.9,Open,WA,,,,,No,No
NWS177,Seringapatam channel north,-13.63,122.02,Open,WA,,,,,No,No
NWS178,Ashmore Central Lagoon Entrance,-12.2,123.04,Open,WA,,,,,No,No
NWS181,Ashmore East Lagoon,-12.19,123.08,Open,WA,,,,,No,No
NWS185,Northwest Ashmore,-12.18,123.11,Open,WA,,,,,No,No
