year,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2015,NT36,2015-10-31,5,2,Reef_fish,1,2,Guluwuru Island NE,-11.55,136.42,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,5
2015,NT36,2015-10-31,6,1,Reef_fish,2,3,Guluwuru Island NE,-11.55,136.42,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2015,NT36,2015-10-31,6,2,Reef_fish,2,4,Guluwuru Island NE,-11.55,136.42,Open,Wessel,Nearshore,Emergent,Fringing,No,Yes,6
2015,NT37,2015-11-01,6,1,Reef_fish,1,1,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,6
2015,NT37,2015-11-01,6,2,Reef_fish,1,2,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,6
2015,NT37,2015-11-01,7,1,Reef_fish,2,3,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,7
2015,NT37,2015-11-01,7,2,Reef_fish,2,4,Truant Island SW,-11.674,136.823,Open,Wessel,Nearshore,Emergent,Fringing,No,No,7
2015,NT38,2015-11-01,5,1,Reef_fish,2,1,Truant Island N,-11.66,136.83,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,NT38,2015-11-01,5,2,Reef_fish,2,2,Truant Island N,-11.66,136.83,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,NT38,2015-11-01,4,1,Reef_fish,1,3,Truant Island N,-11.66,136.83,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,4
2015,NT38,2015-11-01,4,2,Reef_fish,1,4,Truant Island N,-11.66,136.83,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,4
2015,NT39,2015-11-01,4.5,1,Reef_fish,1,1,Truant Island S,-11.68,136.82,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,4.5
2015,NT39,2015-11-01,4.5,2,Reef_fish,1,2,Truant Island S,-11.68,136.82,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,4.5
2015,NT39,2015-11-01,5,1,Reef_fish,2,3,Truant Island S,-11.68,136.82,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,NT39,2015-11-01,5,2,Reef_fish,2,4,Truant Island S,-11.68,136.82,Open,Wessel,Offshore,Emergent,Fringing,No,Yes,5
2015,NT40,2015-11-02,14,1,Reef_fish,2,1,Truant Bank SW,-11.65,136.91,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,14
2015,NT40,2015-11-02,14,2,Reef_fish,2,2,Truant Bank SW,-11.65,136.91,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,14
2015,NT40,2015-11-02,13,1,Reef_fish,1,3,Truant Bank SW,-11.65,136.91,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,13
2015,NT40,2015-11-02,13,2,Reef_fish,1,4,Truant Bank SW,-11.65,136.91,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,13
2015,NT41,2015-11-02,13,1,Reef_fish,2,1,Truant Bank SE,-11.63,136.93,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,13
2015,NT41,2015-11-02,13,2,Reef_fish,2,2,Truant Bank SE,-11.63,136.93,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,13
2015,NT41,2015-11-02,11,1,Reef_fish,1,3,Truant Bank SE,-11.63,136.93,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,11
2015,NT41,2015-11-02,11,2,Reef_fish,1,4,Truant Bank SE,-11.63,136.93,Open,Wessel,Offshore,Submerged,Shoal,No,Yes,11
2015,NT42,2015-11-03,10,1,Reef_fish,1,1,Pugh Shoal,-11.613,136.89,Open,Wessel,Offshore,Submerged,Shoal,No,No,10
2015,NT42,2015-11-03,10,2,Reef_fish,1,2,Pugh Shoal,-11.613,136.89,Open,Wessel,Offshore,Submerged,Shoal,No,No,10
2015,NT42,2015-11-03,11,1,Reef_fish,2,3,Pugh Shoal,-11.613,136.89,Open,Wessel,Offshore,Submerged,Shoal,No,No,11
2015,NT42,2015-11-03,11,2,Reef_fish,2,4,Pugh Shoal,-11.613,136.89,Open,Wessel,Offshore,Submerged,Shoal,No,No,11
2015,NT43,2015-11-03,14,1,Reef_fish,2,1,Buccaneer Shoal,-11.618,136.878,Open,Wessel,Offshore,Submerged,Shoal,No,No,14
2015,NT43,2015-11-03,14,2,Reef_fish,2,2,Buccaneer Shoal,-11.618,136.878,Open,Wessel,Offshore,Submerged,Shoal,No,No,14
2015,NT43,2015-11-03,13,1,Reef_fish,1,3,Buccaneer Shoal,-11.618,136.878,Open,Wessel,Offshore,Submerged,Shoal,No,No,13
2015,NT43,2015-11-03,13,2,Reef_fish,1,4,Buccaneer Shoal,-11.618,136.878,Open,Wessel,Offshore,Submerged,Shoal,No,No,13
2015,NT44,2015-11-03,1.4,1,Reef_fish,1,1,East Bremer Islet bay,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,1.4
2015,NT44,2015-11-03,1.4,2,Reef_fish,1,2,East Bremer Islet bay,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,1.4
